,movie_title,title_year,duration,color,genre,language,country,content_rating,director_name,actor_1_name,actor_2_name,budget,gross,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,movie_facebook_likes,num_critic_for_reviews,IMDB_user_votes,IMDB_user_reviews,IMDB_score
0,Dinosaur,2000,82.0,Color,Adventure,English,USA,PG,Eric Leighton,Alfre Woodard,D.B. Sweeney,127500000.0,137748063.0,0,1000.0,558.0,0,145.0,38438.0,241.0,6.5
1,How the Grinch Stole Christmas,2000,110.0,Color,Comedy,English,USA,PG,Ron Howard,Clint Howard,T.J. Thyne,123000000.0,260031035.0,2000,1000.0,722.0,0,175.0,141414.0,482.0,6.0
2,Mission: Impossible II,2000,123.0,Color,Action,English,USA,PG-13,John Woo,Tom Cruise,Dougray Scott,125000000.0,215397307.0,610,10000.0,794.0,0,237.0,242188.0,1426.0,6.1
3,The Perfect Storm,2000,130.0,Color,Action,English,USA,PG-13,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,140000000.0,182618434.0,249,784.0,638.0,0,231.0,133076.0,779.0,6.4
4,The Patriot,2000,142.0,Color,Action,English,USA,R,Roland Emmerich,Heath Ledger,Adam Baldwin,110000000.0,113330342.0,776,13000.0,2000.0,4000,192.0,207613.0,1144.0,7.1
5,Gone in Sixty Seconds,2000,127.0,Color,Action,English,USA,PG-13,Dominic Sena,Nicolas Cage,Angelina Jolie Pitt,90000000.0,101643008.0,57,12000.0,11000.0,0,175.0,218341.0,498.0,6.5
6,Gladiator,2000,171.0,Color,Action,English,USA,R,Ridley Scott,Djimon Hounsou,Connie Nielsen,103000000.0,187670866.0,0,3000.0,933.0,21000,265.0,982637.0,2368.0,8.5
7,The Emperor's New Groove,2000,78.0,Color,Adventure,English,USA,G,Mark Dindal,Eartha Kitt,Wendie Malick,100000000.0,89296573.0,10,558.0,452.0,0,141.0,128285.0,297.0,7.3
8,The Road to El Dorado,2000,89.0,Color,Adventure,English,USA,PG,Bibo Bergeron,Frank Welker,Rosie Perez,95000000.0,50802661.0,10,2000.0,919.0,0,82.0,58300.0,139.0,6.9
9,What Lies Beneath,2000,130.0,Color,Drama,English,USA,PG-13,Robert Zemeckis,Harrison Ford,Amber Valletta,100000000.0,155370362.0,0,11000.0,627.0,0,185.0,98403.0,683.0,6.6
10,Charlie's Angels,2000,94.0,Color,Action,English,USA,PG-13,McG,Bill Murray,LL Cool J,92000000.0,125305545.0,368,13000.0,1000.0,0,181.0,145350.0,643.0,5.5
11,Hollow Man,2000,119.0,Color,Action,English,USA,R,Paul Verhoeven,Greg Grunberg,Kim Dickens,95000000.0,73209340.0,719,833.0,624.0,0,180.0,101834.0,628.0,5.7
12,Mission to Mars,2000,114.0,Color,Adventure,English,USA,PG,Brian De Palma,Don Cheadle,Connie Nielsen,90000000.0,60874615.0,0,3000.0,933.0,0,181.0,60467.0,949.0,5.6
13,Cast Away,2000,143.0,Color,Adventure,English,USA,PG-13,Robert Zemeckis,Tom Hanks,Paul Sanchez,90000000.0,233630478.0,0,15000.0,410.0,23000,221.0,394317.0,1051.0,7.7
14,102 Dalmatians,2000,100.0,Color,Adventure,English,USA,G,Kevin Lima,Ioan Gruffudd,Eric Idle,85000000.0,66941559.0,36,2000.0,795.0,372,84.0,26413.0,77.0,4.8
15,Nutty Professor II: The Klumps,2000,109.0,Color,Comedy,English,USA,PG-13,Peter Segal,Larry Miller,Janet Jackson,65000000.0,123307945.0,88,611.0,592.0,374,94.0,39391.0,171.0,4.3
16,The 6th Day,2000,123.0,Color,Action,English,USA,PG-13,Roger Spottiswoode,Robert Duvall,Michael Rapaport,82000000.0,34543701.0,55,3000.0,975.0,0,170.0,100001.0,289.0,5.9
17,Little Nicky,2000,90.0,Color,Comedy,English,USA,PG-13,Steven Brill,Adam Sandler,Jon Lovitz,80000000.0,39442871.0,65,11000.0,11000.0,0,87.0,80639.0,237.0,5.3
18,Thirteen Days,2000,145.0,Color,Drama,English,USA,PG-13,Roger Donaldson,Bruce Greenwood,Jon Foster,80000000.0,34566746.0,79,981.0,274.0,0,162.0,45231.0,315.0,7.3
19,Battlefield Earth,2000,119.0,Color,Action,English,USA,PG-13,Roger Christian,Richard Tyson,Michael Byrne,44000000.0,21471685.0,64,743.0,117.0,0,174.0,65464.0,1308.0,2.4
20,Red Planet,2000,106.0,Color,Action,English,USA,PG-13,Antony Hoffman,Bob Neill,Val Kilmer,70000000.0,17473245.0,14,2.0,0.0,995,145.0,47612.0,348.0,5.7
21,The Adventures of Rocky & Bullwinkle,2000,92.0,Color,Adventure,English,USA,PG,Des McAnuff,Robert De Niro,Janeane Garofalo,76000000.0,26000610.0,5,22000.0,1000.0,413,49.0,16611.0,197.0,4.1
22,X-Men,2000,104.0,Color,Action,English,USA,PG-13,Bryan Singer,Hugh Jackman,Tyler Mane,75000000.0,157299717.0,0,20000.0,764.0,0,290.0,452928.0,1401.0,7.4
23,Vertical Limit,2000,124.0,Color,Action,English,USA,PG-13,Martin Campbell,Nicholas Lea,Scott Glenn,75000000.0,68473360.0,258,867.0,826.0,0,134.0,49536.0,379.0,5.9
24,Titan A.E.,2000,94.0,Color,Action,English,USA,PG,Don Bluth,Matt Damon,Janeane Garofalo,75000000.0,22751979.0,383,13000.0,1000.0,0,131.0,52244.0,377.0,6.6
25,Unbreakable,2000,106.0,Color,Drama,English,USA,PG-13,M. Night Shyamalan,Robin Wright,Bruce Willis,75000000.0,94999143.0,0,18000.0,13000.0,0,294.0,245152.0,1344.0,7.2
26,What Women Want,2000,127.0,Color,Comedy,English,USA,PG-13,Nancy Meyers,Judy Greer,Lisa Edelstein,70000000.0,182805123.0,278,2000.0,955.0,0,149.0,158864.0,395.0,6.4
27,Space Cowboys,2000,130.0, Black and White,Action,English,USA,PG-13,Clint Eastwood,Clint Eastwood,Courtney B. Vance,65000000.0,90454043.0,16000,16000.0,495.0,0,169.0,60165.0,326.0,6.4
28,The Kid,2000,104.0,Color,Comedy,English,USA,PG,Jon Turteltaub,Bruce Willis,Lily Tomlin,60000000.0,69688384.0,226,13000.0,718.0,0,86.0,34473.0,139.0,6.1
29,Proof of Life,2000,135.0,Color,Action,English,USA,R,Taylor Hackford,Pamela Reed,Alun Armstrong,65000000.0,32598931.0,138,324.0,192.0,892,134.0,49300.0,265.0,6.2
30,Lucky Numbers,2000,105.0,Color,Comedy,English,France,R,Nora Ephron,Michael Rapaport,Michael Moore,65000000.0,10014234.0,0,975.0,909.0,177,60.0,8560.0,69.0,5.0
31,U-571,2000,116.0,Color,Action,English,France,PG-13,Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,62000000.0,77086030.0,84,11000.0,919.0,0,178.0,65297.0,602.0,6.6
32,The Family Man,2000,125.0,Color,Comedy,English,USA,PG-13,Brett Ratner,Nicolas Cage,Don Cheadle,60000000.0,75764085.0,420,12000.0,3000.0,0,121.0,85844.0,322.0,6.7
33,The Legend of Bagger Vance,2000,126.0,Color,Drama,English,USA,PG-13,Robert Redford,Matt Damon,Will Smith,60000000.0,30695227.0,0,13000.0,10000.0,0,125.0,45296.0,267.0,6.7
34,Almost Famous,2000,152.0,Color,Adventure,English,USA,R,Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,60000000.0,32522352.0,488,22000.0,11000.0,15000,149.0,207287.0,822.0,7.9
35,Supernova,2000,91.0,Color,Horror,English,USA,PG-13,Walter Hill,Robert Forster,Wilson Cruz,65000000.0,14218868.0,394,889.0,290.0,589,100.0,14596.0,282.0,4.8
36,The Flintstones in Viva Rock Vegas,2000,90.0,Color,Comedy,English,USA,PG,Brian Levant,Taylor Negron,Mark Addy,60000000.0,35231365.0,32,1000.0,891.0,500,57.0,15517.0,85.0,3.6
37,Meet the Parents,2000,108.0,Color,Comedy,English,USA,PG-13,Jay Roach,Robert De Niro,Blythe Danner,55000000.0,166225040.0,116,22000.0,713.0,0,150.0,260442.0,507.0,7.0
38,Shanghai Noon,2000,110.0,Color,Action,English,USA,PG-13,Tom Dey,Xander Berkeley,Jason Connery,55000000.0,56932305.0,9,485.0,110.0,0,146.0,96690.0,293.0,6.6
